lat,lon,v
7.75,40.25,6.02391641587019
7.75,40.75,10.902376961894333
7.75,41.75,14.725506445392966
7.75,19.75,0.07792208140546625
7.25,100.25,0.17614568702199243
7.25,100.75,0.17614568702199243
7.25,34.25,1.9999999552965164
7.25,34.75,3.999999910593033
7.25,35.75,3.999999910593033
7.25,36.75,6.000000238418579
7.25,37.25,3.1847134232521057
7.25,37.75,3.1847134232521057
7.25,38.25,3.873032610863447
7.25,38.75,0.47770701348781586
7.25,39.25,6.971302023157477
7.25,39.75,3.422277420759201
7.25,40.25,1.3575213961303234
7.25,40.75,0.22421525791287422
7.25,41.25,5.345911905169487
7.25,41.75,0.8968610316514969
7.25,21.25,0.34210525859485974
7.25,21.75,0.2937063087116588
7.25,22.75,0.11483253674073654
7.25,-59.75,12.252101144620351
6.75,123.75,0.10962567004290494
6.75,124.25,0.022727272727272728
6.75,100.25,1.3992094722661104
6.75,100.75,0.5959085287018256
6.75,101.75,0.9978858313777231
6.75,35.75,1.3333333656191826
6.75,37.75,0.47770701348781586
6.75,38.75,20.961140215513296
6.75,39.25,8.764245104975998
6.75,40.75,7.017832971177995
6.75,41.25,0.3144653979688883
6.75,41.75,1.1210761964321136
6.75,42.25,5.6603774428367615
6.75,43.25,6.603773683309555
6.25,124.25,0.2121212048964067
6.25,100.75,2.5161735032769768
6.25,101.25,0.3170622501268306
6.25,101.75,4.882717658723281
6.25,102.25,9.344585166609084
6.25,44.25,2.2012578323483467
6.25,38.25,0.9981417184462771
6.25,39.25,2.5911949574947357
6.25,39.75,0.8862860035151243
6.25,40.75,108.80715772509575
6.25,41.25,6.048049050150439
6.25,41.75,0.15151514671742916
6.25,42.75,0.44843051582574844
6.25,19.75,0.06757843900810588
6.25,20.25,0.03761755471879786
6.25,20.75,0.6003620299425992
6.25,21.25,0.18754775144837119
6.25,-55.25,1.0210084071648973
6.25,-57.75,0.18367346382832953
5.75,100.75,1.2377622439102693
5.75,101.25,0.2798418944532221
5.75,101.75,2.0255223455076865
5.75,102.25,9.252056499773806
5.75,102.75,7.194478611377153
5.75,103.25,0.20432901213114912
5.75,43.75,0.22421525791287422
5.75,44.25,1.054491102695465
5.75,36.25,3.068009833805263
5.75,37.25,0.31847134232521057
5.75,38.25,2.9147982597351074
5.75,39.25,11.225614324212074
5.75,39.75,1.9230769947171211
5.75,40.25,8.624531514942646
5.75,40.75,8.30346051370725
5.75,41.25,8.168484800262377
5.75,41.75,6.508357124403119
5.75,42.25,3.380778804421425
5.75,21.25,0.40909090909090906
5.75,21.75,0.20979021354155108
5.75,-55.75,0.3471428493836096
5.75,-76.25,0.019783616065979004
5.75,-60.25,0.23065970026488816
5.25,100.25,0.08080807929350571
5.25,101.75,0.32648220353505825
5.25,102.25,0.8678838031535799
5.25,102.75,0.32323231717402284
5.25,103.25,9.397373153912751
5.25,44.25,0.3144653979688883
5.25,24.75,0.0009259830838664598
5.25,36.75,1.9108280539512634
5.25,38.75,0.44843051582574844
5.25,39.75,0.7961783558130264
5.25,40.25,9.74842756986618
5.25,40.75,7.088107080198824
5.25,41.25,2.3082478437572718
5.25,42.25,2.8301887214183807
5.25,43.25,2.2012578323483467
